Date,Place,Title,Price,Sold,S/H,Comm.,Ship,Net,Notes
26-Oct-09,Salvation Army White Lake,Downsize This!,$0.53 ,,,,,($0.53),Signed by Author
26-Oct-09,Salvation Army White Lake,Bringing Down the House,$0.53 ,$0.75 ,$2.64 ,$0.11 ,$2.38 ,$0.37 ,
26-Oct-09,Salvation Army White Lake,Break the Dealer,$0.53 ,,,,,($0.53),
26-Oct-09,Salvation Army White Lake,Hatchet,$0.53 ,$0.75 ,$2.64 ,$0.11 ,$2.24 ,$0.51 ,
26-Oct-09,Salvation Army White Lake,Where the Red Fern Grows,$0.53 ,$0.75 ,$2.64 ,$0.11 ,$2.07 ,$0.68 ,
26-Oct-09,Salvation Army White Lake,MLA Handbook for Writers of Research Papers,$0.53 ,$0.75 ,$5.20 ,$0.11 ,$5.00 ,$0.31 ,
26-Oct-09,Salvation Army White Lake,Liar's Poker,$0.53 ,$0.75 ,$3.07 ,$0.11 ,$2.77 ,$0.41 ,
26-Oct-09,Salvation Army White Lake,The Onion Ad Nauseum,$0.53 ,$1.49 ,$2.64 ,$0.22 ,$3.16 ,$0.22 ,
26-Oct-09,Salvation Army White Lake,The Jungle,$0.53 ,$1.89 ,$2.64 ,$0.28 ,$2.38 ,$1.34 ,
26-Oct-09,Salvation Army White Lake,A Brief History of Time,$0.53 ,$4.99 ,$2.64 ,$0.75 ,$2.41 ,$3.94 ,Spent $5.25 for 10 books
,,,$5.30 ,$12.12 ,$24.11 ,$1.80 ,$22.41 ,$6.72 ,
4-Nov-09,Commerce P.L.,October Sky,$0.50 ,$1.19 ,$2.64 ,$0.18 ,$2.38 ,$0.77 ,
4-Nov-09,Commerce P.L.,Poems by Robert Frost,$0.50 ,$1.49 ,$2.64 ,$0.22 ,$1.73 ,$1.68 ,
4-Nov-09,Commerce P.L.,Friday Night Lights,$0.50 ,$2.99 ,$2.64 ,$0.45 ,$2.77 ,$1.91 ,
4-Nov-09,Commerce P.L.,Tweak,$0.50 ,$5.49 ,$2.64 ,$0.82 ,$2.38 ,$4.43 ,
4-Nov-09,Commerce P.L.,Death of a Salesman,$0.50 ,$0.75 ,$2.64 ,$0.11 ,$1.56 ,$1.22 ,
4-Nov-09,Commerce P.L.,The Godfather Returns,$0.50 ,$0.99 ,$2.64 ,$0.15 ,$2.38 ,$0.60 ,
4-Nov-09,Commerce P.L.,Multicultural Mathematics,$0.50 ,$0.50 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,Added to personal collection
4-Nov-09,Commerce P.L.,Reading the Numbers,$0.50 ,$0.75 ,$2.64 ,$0.11 ,$2.38 ,$0.40 ,
4-Nov-09,Commerce P.L.,The Science of God,$0.50 ,$3.49 ,$2.64 ,$0.52 ,$2.38 ,$2.73 ,
4-Nov-09,Commerce P.L.,SPSS Manual,$0.50 ,$0.75 ,$2.64 ,$0.11 ,$3.09 ,($0.31),
4-Nov-09,Commerce P.L.,Cosmos,$0.50 ,$0.75 ,$2.64 ,$0.11 ,$3.16 ,($0.38),
4-Nov-09,Commerce P.L.,Hurricane,$1.00 ,$1.99 ,$3.07 ,$0.30 ,$2.77 ,$0.99 ,Spent $6.50 for 12 books and some dude gave me $1 for being honest.
,,,$6.50 ,$21.13 ,$29.47 ,$3.08 ,$26.98 ,$14.04 ,
9-Nov-09,Salvation Army White Lake,A Man in Full,$1.00 ,$0.75 ,$3.07 ,$0.11 ,$3.16 ,($0.45),
9-Nov-09,Salvation Army White Lake,The Dream That Will Not Die,$0.50 ,,,,,($0.50),
9-Nov-09,Salvation Army White Lake,Tom Clancy's Splinter Cell,$0.50 ,$1.99 ,$2.64 ,$0.30 ,$2.24 ,$1.59 ,
9-Nov-09,Salvation Army White Lake,A Speeders Guide to Avoiding Tickets,$0.50 ,,,,,($0.50),
9-Nov-09,Salvation Army White Lake,The Truth About Getting In,$0.50 ,,,,,($0.50),
9-Nov-09,Salvation Army White Lake,Cyberpunk,$0.50 ,,,,,($0.50),
9-Nov-09,Salvation Army White Lake,The Time Machine,$1.00 ,$0.75 ,$3.07 ,$0.11 ,$2.38 ,$0.33 ,
9-Nov-09,Salvation Army White Lake,Things Fall Apart,$0.50 ,$3.29 ,$2.64 ,$0.11 ,$2.24 ,$3.08 ,
9-Nov-09,Salvation Army White Lake,Inherit the Wind,$0.50 ,$0.75 ,$2.64 ,$0.11 ,$1.56 ,$1.22 ,
9-Nov-09,Salvation Army White Lake,Brian's Song,$0.50 ,$0.99 ,$2.64 ,$0.15 ,$1.56 ,$1.42 ,
9-Nov-09,Salvation Army White Lake,Hamlet,$0.50 ,$0.91 ,$2.64 ,$0.14 ,$2.24 ,$0.67 ,
9-Nov-09,Salvation Army White Lake,Ripley's,$1.00 ,,,,,($1.00),
9-Nov-09,Salvation Army White Lake,Experience and Education : Dewey,$0.50 ,$3.99 ,$2.64 ,$0.60 ,$1.73 ,$3.80 ,
,,,$8.00 ,$13.42 ,$21.98 ,$1.63 ,$17.11 ,$8.66 ,
11-Nov-09,Royal Oak P.L.,A Thousand Splendid Suns,$1.00 ,$2.49 ,$3.07 ,$0.37 ,$2.77 ,$1.42 ,
11-Nov-09,Royal Oak P.L.,The Hacker Crackdown,$1.25 ,,,,,($1.25),
,,,$2.25 ,$2.49 ,$3.07 ,$0.37 ,$2.77 ,$0.17 ,
14-Nov-09,Bloomfield Hills P.L.,The Five People You Meet in Heaven,$1.00 ,$1.39 ,$3.07 ,$0.21 ,$2.38 ,$0.87 ,
14-Nov-09,Bloomfield Hills P.L.,The Stranger,$1.00 ,$2.95 ,$2.64 ,$0.44 ,$2.24 ,$1.91 ,
14-Nov-09,Bloomfield Hills P.L.,A Brief History of Time,$2.00 ,$2.85 ,$3.07 ,$0.43 ,$2.77 ,$0.72 ,
14-Nov-09,Bloomfield Hills P.L.,Vonnegut In Fact,$2.00 ,,,,,($2.00),
14-Nov-09,Bloomfield Hills P.L.,The Iceman Cometh,$1.00 ,$1.99 ,$2.64 ,$0.30 ,$2.24 ,$1.09 ,
14-Nov-09,Bloomfield Hills P.L.,The Trial,$1.00 ,$1.24 ,$2.64 ,$0.19 ,$2.38 ,$0.31 ,
14-Nov-09,Bloomfield Hills P.L.,Mother Night,$1.00 ,$9.99 ,$2.64 ,$1.50 ,$1.73 ,$8.40 ,
14-Nov-09,Bloomfield Hills P.L.,The Green Mile,$1.00 ,,,,,($1.00),
14-Nov-09,Bloomfield Hills P.L.,The Big Bad Wolf,$2.00 ,$0.89 ,$3.07 ,$0.13 ,$2.77 ,($0.94),
14-Nov-09,Bloomfield Hills P.L.,Clapton,$2.00 ,$3.99 ,$3.07 ,$0.60 ,$2.77 ,$1.69 ,
14-Nov-09,Bloomfield Hills P.L.,Shutter Island,$2.00 ,$4.69 ,$3.07 ,$0.70 ,$2.77 ,$2.29 ,
14-Nov-09,Bloomfield Hills P.L.,The Island of Dr. Moreau,$1.00 ,$0.75 ,$2.64 ,$0.11 ,$1.73 ,$0.55 ,
14-Nov-09,Bloomfield Hills P.L.,Elementary Theory of Numbers,$1.00 ,$3.45 ,$2.64 ,$0.52 ,$2.24 ,$2.33 ,
14-Nov-09,Bloomfield Hills P.L.,Michel Foucault,$1.00 ,$8.89 ,$2.64 ,$1.33 ,$2.38 ,$6.82 ,
14-Nov-09,Bloomfield Hills P.L.,Games and Decisions,$1.00 ,$2.99 ,$2.64 ,$0.19 ,$2.77 ,$1.67 ,
14-Nov-09,Bloomfield Hills P.L.,A Guide to Feynman Diagrams in the Many-Body Problem,$1.00 ,$4.99 ,$2.64 ,$0.75 ,$2.77 ,$3.11 ,
14-Nov-09,Bloomfield Hills P.L.,"I, Robot",$1.00 ,$1.45 ,$2.64 ,$0.22 ,$2.07 ,$0.80 ,
14-Nov-09,Bloomfield Hills P.L.,Chappelle Season 1,$5.00 ,$3.99 ,$2.39 ,$0.60 ,$2.41 ,($1.63),
14-Nov-09,Bloomfield Hills P.L.,Chappelle Season 2,$5.00 ,$5.95 ,$2.39 ,$0.89 ,$2.38 ,$0.07 ,
14-Nov-09,Bloomfield Hills P.L.,The Big Lebowski,$1.00 ,$4.99 ,$2.39 ,$0.75 ,$1.90 ,$3.73 ,
14-Nov-09,Bloomfield Hills P.L.,The Catcher in the Rye,$1.00 ,$1.89 ,$2.64 ,$0.11 ,$1.90 ,$1.52 ,
14-Nov-09,Bloomfield Hills P.L.,Anna Karenina,$1.00 ,,,,,($1.00),
14-Nov-09,Bloomfield Hills P.L.,Leonardo da Vinci's Machines,$1.00 ,$1.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,Added to personal collection
14-Nov-09,Bloomfield Hills P.L.,Of Mice and Men,$1.00 ,$0.94 ,$5.20 ,$0.14 ,$1.56 ,$3.44 ,
,,,$37.00 ,$71.26 ,$56.76 ,$10.11 ,$46.16 ,$34.75 ,"plus $7.50 to join B.H.P.L. Friends, Added 23 items to stock for $44.50"
19-Nov-09,Salvation Army Southfield,The Street Lawyer,$0.80 ,$0.75 ,$3.07 ,$0.11 ,$2.77 ,$0.14 ,
19-Nov-09,Salvation Army Southfield,American Skin,$0.80 ,$3.35 ,$3.07 ,$0.50 ,$2.77 ,$2.35 ,
19-Nov-09,Salvation Army Southfield,Happy Endings,$0.80 ,$1.49 ,$3.07 ,$0.22 ,$2.38 ,$1.16 ,
19-Nov-09,Salvation Army Southfield,Harry Potter and the Chamber of Secrets,$0.40 ,$0.75 ,$2.64 ,$0.11 ,$2.38 ,$0.50 ,
19-Nov-09,Salvation Army Southfield,Darkly Dreaming Dexter,$0.40 ,$2.49 ,$2.64 ,$0.37 ,$2.38 ,$1.98 ,
19-Nov-09,Salvation Army Southfield,Of Mice and Men,$0.40 ,$0.87 ,$2.64 ,$0.13 ,$1.56 ,$1.42 ,
19-Nov-09,Salvation Army Southfield,Space Balls,$1.61 ,$0.75 ,$2.39 ,$0.11 ,$1.73 ,($0.31),
,,,$5.21 ,$10.45 ,$19.52 ,$1.55 ,$15.97 ,$7.24 ,
20-Nov-09,E-Bay,The Family,$1.00 ,$0.95 ,$2.64 ,$0.14 ,$2.38 ,$0.07 ,
20-Nov-09,E-Bay,Cat's Cradle,$1.00 ,$0.93 ,$2.64 ,$0.14 ,$1.73 ,$0.70 ,
20-Nov-09,E-Bay,Jailbird,$1.00 ,$0.75 ,$2.64 ,$0.11 ,$2.07 ,$0.21 ,
20-Nov-09,E-Bay,Helter Skelter,$1.00 ,$0.99 ,$2.64 ,$0.15 ,$2.38 ,$0.10 ,
20-Nov-09,E-Bay,Mother Night,$1.00 ,$4.20 ,$2.64 ,$0.63 ,$2.24 ,$2.97 ,
20-Nov-09,E-Bay,In Cold Blood,$1.00 ,$0.75 ,$2.64 ,$0.11 ,$2.38 ,($0.10),
20-Nov-09,E-Bay,The Sirens of Titan,$1.00 ,$1.81 ,$2.64 ,$0.27 ,$2.07 ,$1.11 ,
20-Nov-09,E-Bay,"God Bless You, Mr. Rosewater",$1.00 ,$0.85 ,$2.64 ,$0.13 ,$1.73 ,$0.63 ,
20-Nov-09,E-Bay,Slaughterhouse-Five,$1.00 ,$0.75 ,$2.64 ,$0.11 ,$1.90 ,$0.38 ,
20-Nov-09,E-Bay,Player Piano,$1.00 ,$1.99 ,$2.64 ,$0.30 ,$2.24 ,$1.09 ,
20-Nov-09,E-Bay,Alice in Wonderland / Through the Looking Glass,$1.00 ,$1.89 ,$2.64 ,$0.28 ,$2.38 ,$0.87 ,
20-Nov-09,E-Bay,Count of Monte Cristo,$1.00 ,,,,,($1.00),
,,,$12.00 ,$15.86 ,$29.04 ,$2.37 ,$23.50 ,$7.03 ,
23-Nov-09,Salvation Army Redford,Understanding Power The Indispensable Chomsky,$0.35 ,$5.39 ,$2.64 ,$0.13 ,$2.77 ,$4.78 ,
23-Nov-09,Salvation Army Redford,The Cracker Factory,$0.35 ,,,,,($0.35),
23-Nov-09,Salvation Army Redford,License Renewed,$0.35 ,$0.75 ,$5.20 ,$0.11 ,$2.87 ,$2.62 ,
23-Nov-09,Salvation Army Redford,Summer Things,$0.35 ,,,,,($0.35),
23-Nov-09,Salvation Army Redford,Headbanger,$0.35 ,,,,,($0.35),
23-Nov-09,Salvation Army Redford,My Side of the Mountain,$0.35 ,,,,,($0.35),
23-Nov-09,Salvation Army Redford,The Street Lawyer,$0.35 ,$0.95 ,$2.64 ,$0.14 ,$2.38 ,$0.72 ,
23-Nov-09,Salvation Army Redford,The Bourne Identity,$0.35 ,$0.99 ,$2.64 ,$0.15 ,$2.38 ,$0.75 ,
,,,$2.80 ,$8.08 ,$13.12 ,$0.53 ,$10.40 ,$7.47 ,
19-Nov-09,E-Bay,Chocolate Fever,$0.46 ,$0.93 ,$2.64 ,$0.14 ,$1.73 ,$1.24 ,
19-Nov-09,E-Bay,A Midsummer Night's Dream,$0.46 ,$0.75 ,$2.64 ,$0.11 ,$1.56 ,$1.26 ,
19-Nov-09,E-Bay,Bob Knight,$0.46 ,,,,,($0.46),
19-Nov-09,E-Bay,Smoke Screen,$0.46 ,,,,,($0.46),
19-Nov-09,E-Bay,Fruitcake,$0.46 ,,,,,($0.46),
19-Nov-09,E-Bay,The Bourne Identity,$0.46 ,$0.75 ,$2.64 ,$0.11 ,$2.38 ,$0.44 ,
19-Nov-09,E-Bay,Economics Today,$0.46 ,$0.75 ,$5.20 ,$0.11 ,$3.16 ,$2.22 ,
19-Nov-09,E-Bay,The Martian Chronicles,$0.46 ,,,,,($0.46),
19-Nov-09,E-Bay,Lost Souls,$0.46 ,,,,,($0.46),
19-Nov-09,E-Bay,Group Portrait with Lady,$0.46 ,,,,,($0.46),
19-Nov-09,E-Bay,Along Came a Spider,$0.46 ,$0.88 ,$2.64 ,$0.13 ,$2.38 ,$0.55 ,
19-Nov-09,E-Bay,Sisters,$0.46 ,,,,,($0.46),
19-Nov-09,E-Bay,Better Than Bulletproof,$0.46 ,,,,,($0.46),
19-Nov-09,E-Bay,On the Banks of Plum Creek,$0.46 ,,,,,($0.46),
19-Nov-09,E-Bay,The Norton Introduction to Literature,$0.46 ,$13.99 ,$3.07 ,$2.10 ,$3.16 ,$11.34 ,
19-Nov-09,E-Bay,Criminal Seduction,$0.46 ,,,,,($0.46),
19-Nov-09,E-Bay,If There Be Thorns,$0.46 ,$0.75 ,$2.64 ,$0.11 ,$2.38 ,$0.44 ,
19-Nov-09,E-Bay,Changer of Days,$0.46 ,,,,,($0.46),Listed Multiple times
19-Nov-09,E-Bay,Gone the Sun,$0.46 ,,,,,($0.46),
19-Nov-09,E-Bay,Sheik Protector,$0.46 ,,,,,($0.46),
19-Nov-09,E-Bay,To Be a Slave,$0.46 ,,,,,($0.46),
19-Nov-09,E-Bay,Weight Watchers Quick Start Plus Program Cookbook,$0.46 ,$0.00 ,$0.00 ,$0.00 ,$2.77 ,($3.23),"Item had to be REFUNDED, wrong Item"
19-Nov-09,E-Bay,Star,$0.46 ,$0.75 ,$2.64 ,$0.11 ,$2.38 ,$0.44 ,
19-Nov-09,E-Bay,The Genetic Code,$0.46 ,,,,,($0.46),
19-Nov-09,E-Bay,The Pill Book,$0.46 ,$0.99 ,$2.64 ,$0.15 ,$2.77 ,$0.25 ,
19-Nov-09,E-Bay,Dirty White Boys,$0.46 ,$1.19 ,$2.64 ,$0.18 ,$2.38 ,$0.81 ,
19-Nov-09,E-Bay,Snow in April,$0.46 ,$0.99 ,$2.64 ,$0.15 ,$1.90 ,$1.12 ,
19-Nov-09,E-Bay,Complete Book of home Buying,$0.46 ,,,,,($0.46),
19-Nov-09,E-Bay,Webster's New World Dictionary of Computer Terms,$0.46 ,,,,,($0.46),
19-Nov-09,E-Bay,The Call of the Wild and White Fang,$0.46 ,,,,,($0.46),
19-Nov-09,E-Bay,Food Editors Favorite Cookbook,$0.46 ,,,,,($0.46),
19-Nov-09,E-Bay,The Dance of Shiva,$0.46 ,,,,,($0.46),Not Listed yet
19-Nov-09,E-Bay,Inside a Royal Marriage,$0.46 ,,,,,($0.46),Not Listed yet
19-Nov-09,E-Bay,Globe Outline Series: Physics Copyright 1921,$0.46 ,,,,,($0.46),Not Listed yet
19-Nov-09,E-Bay,Instructor's Manual: Structuring Programs in Microsoft Basic,$0.46 ,,,,,($0.46),Not Listed yet
19-Nov-09,E-Bay,Painter 6 User Guide,$0.46 ,,,,,($0.46),Not Listed yet
19-Nov-09,E-Bay,Painter 6 User Guide,$0.46 ,,,,,($0.46),Not Listed yet
19-Nov-09,E-Bay,Revelation Uncovered,$0.46 ,,,,,($0.46),Not Listed yet
19-Nov-09,E-Bay,If you take a mouse to the Movies,$0.46 ,,,,,($0.46),Not Listed yet
19-Nov-09,E-Bay,Patriot Games,$0.46 ,,,,,($0.46),
19-Nov-09,E-Bay,Amber Enchantress,$0.46 ,$0.75 ,$2.64 ,$0.11 ,$2.24 ,$0.58 ,
19-Nov-09,E-Bay,Miniature Schnauzer Guide,$0.46 ,,,,,($0.46),
19-Nov-09,E-Bay,Know Your German Shepherd,$0.46 ,,,,,($0.46),
19-Nov-09,E-Bay,Coming Back,$0.46 ,,,,,($0.46),
19-Nov-09,E-Bay,A Case of Conscience,$0.46 ,,,,,($0.46),
,,,$20.50 ,$23.47 ,$34.67 ,$3.51 ,$31.19 ,$2.94 ,There is approx. 6 books not listed here from the order. $20.50
25-Nov-09,Salvation Army Redford,Battle Cry for a Generation,$0.99 ,$2.24 ,$3.07 ,$0.34 ,$2.77 ,$1.21 ,
25-Nov-09,Salvation Army Redford,To the Nines,$0.99 ,$0.84 ,$3.07 ,$0.11 ,$2.38 ,$0.43 ,
25-Nov-09,Salvation Army Southfield,Bobby Fischer Teaches Chess,$0.99 ,$0.75 ,$2.64 ,$0.11 ,$2.24 ,$0.05 ,
25-Nov-09,Salvation Army Southfield,A slipping down life,$0.34 ,,,,,($0.34),
25-Nov-09,Salvation Army Southfield,Tales from Margaritaville,$0.34 ,$0.75 ,$2.64 ,$0.11 ,$1.90 ,$1.04 ,
25-Nov-09,Salvation Army Southfield,Coronado,$0.99 ,$0.75 ,$2.64 ,$0.28 ,$2.38 ,($0.26),
25-Nov-09,Salvation Army Southfield,Shopgirl,$0.99 ,$0.75 ,$2.64 ,$0.11 ,$2.24 ,$0.05 ,
25-Nov-09,Salvation Army Southfield,The Five People You Meet in Heaven,$0.99 ,$1.34 ,$3.07 ,$0.20 ,$2.38 ,$0.84 ,
25-Nov-09,Salvation Army Southfield,Among the Heroes,$0.99 ,$0.75 ,$5.24 ,$0.11 ,$5.75 ,($0.86),Expedited shipping
25-Nov-09,Salvation Army Southfield,The Beethoven Factor,$0.99 ,$1.79 ,$3.07 ,$0.27 ,$2.77 ,$0.83 ,
25-Nov-09,Salvation Army Southfield,Geometry to go,$0.99 ,$10.49 ,$2.64 ,$1.20 ,$2.77 ,$8.17 ,
25-Nov-09,Salvation Army Southfield,Producing in the home studio with Pro Tools,$1.99 ,,,,,($1.99),
25-Nov-09,Salvation Army Dearborn,Lone wolf and cub,$0.99 ,$3.20 ,$2.64 ,$0.48 ,$2.24 ,$2.13 ,
25-Nov-09,Salvation Army Dearborn,The spirit of Aikido,$1.99 ,$2.25 ,$2.64 ,$0.34 ,$1.90 ,$0.66 ,
25-Nov-09,Salvation Army Dearborn,The urban Condition,$1.99 ,,,,,($1.99),
25-Nov-09,Salvation Army Dearborn,The very Best men,$2.99 ,$2.99 ,$2.64 ,$0.45 ,$2.38 ,($0.19),
25-Nov-09,Salvation Army Dearborn,The 7 habits of highly effective teens,$0.69 ,$0.75 ,$2.64 ,$0.11 ,$2.38 ,$0.21 ,
25-Nov-09,Salvation Army Dearborn,Skinny dip,$0.99 ,$0.76 ,$3.07 ,$0.11 ,$2.38 ,$0.35 ,
25-Nov-09,Salvation Army Dearborn,Use Cases: Requirements in Context,$1.99 ,$4.99 ,$2.64 ,$0.75 ,$2.77 ,$2.12 ,
,,,$23.21 ,$35.39 ,$46.99 ,$5.08 ,$41.63 ,$12.46 ,
26-Nov-09,E-Bay,Demon Box,$0.90 ,$0.75 ,$2.64 ,$0.11 ,$2.38 ,$0.00 ,
26-Nov-09,E-Bay,Anywhere but here,$0.90 ,,,,,($0.90),
26-Nov-09,E-Bay,The origin of Evil,$0.90 ,,,,,($0.90),Mother was reading this
26-Nov-09,E-Bay,Lost in Translation,$0.90 ,$0.75 ,$2.64 ,$0.11 ,$2.38 ,$0.00 ,
26-Nov-09,E-Bay,Angela's Ashes,$0.90 ,$0.75 ,$2.64 ,$0.11 ,$2.38 ,$0.00 ,
26-Nov-09,E-Bay,Charming Billy,$0.90 ,$0.75 ,$2.64 ,$0.11 ,$2.38 ,$0.00 ,
26-Nov-09,E-Bay,The Catherine Wheel,$0.90 ,$0.99 ,$2.64 ,$0.15 ,$2.38 ,$0.20 ,
26-Nov-09,E-Bay,The waste land and other poems,$0.90 ,$0.75 ,$2.64 ,$0.11 ,$1.73 ,$0.65 ,
26-Nov-09,E-Bay,The Tragedy of Hamlet Prince of Denmark,$0.90 ,$0.99 ,$5.20 ,$0.15 ,$2.24 ,$2.90 ,
26-Nov-09,E-Bay,True North,$0.90 ,$0.75 ,$2.64 ,$0.11 ,$2.38 ,$0.00 ,
,,,$8.98 ,$6.48 ,$23.68 ,$0.96 ,$18.25 ,$1.97 ,There are 6 books not listed here. $8.98=$0.56125/book
30-Nov-09,Salvation Army Keego,Identity,$0.64 ,,,,,($0.64),
30-Nov-09,Salvation Army Keego,Tuesdays with Morrie,$0.64 ,$0.75 ,$2.64 ,$0.11 ,$1.90 ,$0.74 ,
30-Nov-09,Salvation Army Keego,On the Beach,$0.64 ,$1.25 ,$2.64 ,$0.19 ,$2.38 ,$0.68 ,
30-Nov-09,Salvation Army Keego,Dangerous Company,$0.64 ,,,,,($0.64),
30-Nov-09,Salvation Army Keego,Boy Meets Girl,$0.64 ,$2.99 ,$3.07 ,$0.45 ,$2.38 ,$2.59 ,
30-Nov-09,Salvation Army Keego,I am America (and So can you!),$0.64 ,$6.99 ,$2.64 ,$1.05 ,$2.77 ,$5.17 ,
30-Nov-09,Salvation Army White Lake,Winning Poker,$0.53 ,,,,,($0.53),
30-Nov-09,Salvation Army White Lake,The Sportswriter,$0.53 ,$1.49 ,$2.64 ,$0.22 ,$2.38 ,$1.00 ,
30-Nov-09,Salvation Army White Lake,Clear Body Clear Mind,$0.53 ,$1.39 ,$2.64 ,$0.21 ,$2.38 ,$0.91 ,
30-Nov-09,Salvation Army White Lake,Boogers are My Beat,$0.53 ,,,,,($0.53),
,,,$5.97 ,$14.86 ,$16.27 ,$2.23 ,$14.19 ,$8.74 ,
3-Dec-09,Southfield P.L.,Lies and the Liars who tell them,$0.68 ,$0.75 ,$3.07 ,$0.11 ,$2.77 ,$0.27 ,
3-Dec-09,Southfield P.L.,The Giver,$0.68 ,$2.79 ,$2.64 ,$0.42 ,$1.73 ,$2.61 ,
3-Dec-09,Southfield P.L.,Faust Part One,$0.68 ,$1.99 ,$2.64 ,$0.30 ,$2.24 ,$1.42 ,
3-Dec-09,Southfield P.L.,The Five People You Meet in Heaven,$0.68 ,$2.49 ,$3.07 ,$0.37 ,$1.39 ,$3.13 ,
3-Dec-09,Southfield P.L.,Tuesdays with Morrie,$0.68 ,$2.45 ,$1.40 ,$0.37 ,$1.39 ,$1.42 ,
3-Dec-09,Southfield P.L.,I know why the caged bird Sings,$0.68 ,$1.98 ,$2.64 ,$0.30 ,$2.07 ,$1.58 ,
3-Dec-09,Southfield P.L.,The Outside Man,$0.68 ,,,,,($0.68),
3-Dec-09,Southfield P.L.,Math Projects for Young Scientists,$0.68 ,$0.68 ,$0.00 ,$0.00 ,$0.00 ,$0.01 ,Added to personal collection
3-Dec-09,Southfield P.L.,The Simpsons,$0.68 ,$1.49 ,$2.64 ,$0.22 ,$2.77 ,$0.47 ,
3-Dec-09,Southfield P.L.,Up Periscope Yellow,$0.68 ,$1.99 ,$2.64 ,$0.30 ,$2.77 ,$0.89 ,
,,,$6.75 ,$16.61 ,$20.74 ,$2.39 ,$17.13 ,$11.08 ,
7-Dec-09,Salvation Army White Lake,Reading Magic,$0.38 ,$0.75 ,$2.64 ,$0.11 ,$2.38 ,$0.52 ,
7-Dec-09,Salvation Army White Lake,The Kite Runner,$0.38 ,$0.75 ,$2.64 ,$0.11 ,$2.38 ,$0.52 ,
7-Dec-09,Salvation Army White Lake,The girl who loved tom gordon,$0.38 ,$0.75 ,$2.64 ,$0.11 ,$1.90 ,$1.00 ,
7-Dec-09,Salvation Army White Lake,The tesseract,$0.38 ,$0.79 ,$2.64 ,$0.12 ,$2.38 ,$0.55 ,
7-Dec-09,Salvation Army White Lake,Skinny legs and all,$0.38 ,$3.99 ,$2.64 ,$0.60 ,$2.38 ,$3.27 ,
7-Dec-09,Salvation Army White Lake,The elegance of the hedgehog,$0.38 ,$7.99 ,$2.64 ,$1.20 ,$2.38 ,$6.67 ,
7-Dec-09,Salvation Army White Lake,Burning Money,$0.38 ,,,,,($0.38),
,,,$2.65 ,$15.02 ,$15.84 ,$2.25 ,$13.80 ,$12.16 ,
7-Dec-09,Highland P.L.,The Return of the King,$0.50 ,$0.75 ,$2.64 ,$0.11 ,$2.38 ,$0.40 ,
7-Dec-09,Highland P.L.,The Dark Arena,$0.50 ,$0.99 ,$2.64 ,$0.11 ,$2.07 ,$0.95 ,
7-Dec-09,Highland P.L.,The Lazarus Vendetta,$0.50 ,$0.75 ,$2.64 ,$0.11 ,$2.77 ,$0.01 ,
7-Dec-09,Highland P.L.,The Norton Anthology of American Lit. to 1820,$0.50 ,$1.99 ,$2.64 ,$0.30 ,$2.77 ,$1.06 ,
7-Dec-09,Highland P.L.,Starlight and Time,$0.50 ,$1.99 ,$2.64 ,$0.30 ,$2.07 ,$1.76 ,
7-Dec-09,Highland P.L.,High Five,$1.00 ,$6.99 ,$3.07 ,$1.05 ,$2.38 ,$5.63 ,
7-Dec-09,Highland P.L.,Manifold - 0345430778,$1.00 ,$0.75 ,$3.07 ,$0.11 ,$2.77 ,($0.06),
7-Dec-09,Highland P.L.,Manifold - 0345430751,$1.00 ,,,,,($1.00),
7-Dec-09,Highland P.L.,Havana Nocturne,$1.00 ,$7.99 ,$3.07 ,$1.20 ,$2.77 ,$6.09 ,
7-Dec-09,Highland P.L.,Slow Waltz in Cedar Bend,$1.00 ,,,,,($1.00),
7-Dec-09,Highland P.L.,The Future of Life,$0.50 ,$5.49 ,$2.64 ,$0.82 ,$2.38 ,$4.43 ,
7-Dec-09,Highland P.L.,Robots In Time,$0.50 ,,,,,($0.50),
