EBayProductID,ProductIDValue,Title,Price,Condition,Notes,AverageSoldPrice,LastSoldPrice
351387397,684801523,The Great Gatsby by F. Scott Fitzgerald and Matthew Joseph Bruccoli (1995; Paperback; Reprint) ; F. Scott Fitzgerald; Matthew Joseph,0.75,VERY_GOOD,Quick Delivery.,1.16,0.75
364292080,385484518,Tuesdays With Morrie; An Old Man; a Young Man; and Lifes Greatest Lesson by Mitch Albom (1997; Hardcover) ; Mitch Albom (Hardcover,2.14,BRAND_NEW,Book is in perfect condition. Quick Delivery.,3.79,2.25
364230206,059035342X,Harry Potter and the Sorcerer's Stone by J. K. Rowling (1999; Paperback; Reprint) ; J.K. Rowling (Paperback; 1999),2.39,BRAND_NEW,Book is in perfect condition. Quick Delivery.,3.04,3.75
365755217,1400032717,The Curious Incident of the Dog in the Night-time by Mark Haddon (2004; Paperback; Reprint) ; Mark Haddon (Paperback; 2004),3.33,BRAND_NEW,Book is in perfect condition. Quick Delivery.,4.87,3.32
374213178,,Weeds - Season 1 (DVD; 2006) (DVD; 2006),4.89,LIKE_NEW,Discs and case are in perfect condition. Quick Delivery.,5.14,4.95
367077408,316015849,Twilight by Stephenie Meyer (2006; Paperback; Reprint) ; Stephenie Meyer (Paperback; 2006),1.19,BRAND_NEW,Book is in perfect condition. Quick Delivery.,1.63,1.04
351708303,007310597X,Understanding Business by Susan M. McHugh; William G. Nickels and James M. McHugh (2006; Other; Mixed media product) ; William G. Nic,2.45,GOOD,Quick Delivery.,2.2,4.04
348818324,393320979,Beowulf; A New Verse Translation (2001; Paperback; Reprint) (Paperback; 2001),1.26,VERY_GOOD,Quick Delivery.,4.2,1.28
348636844,375702709,A Lesson before Dying by Ernest J. Gaines (1997; Paperback) ; Ernest J. Gaines (Paperback; 1997),1.92,BRAND_NEW,Book is in perfect condition. Quick Delivery.,4.63,2.22
365478363,316024961,New Moon by Stephenie Meyer (2008; Paperback) ; Stephenie Meyer (Paperback; 2008),0.75,VERY_GOOD,Quick Delivery.,0.75,0.75
378157714,143038257,Three Cups of Tea; One Man's Mission to Promote Peace  One School at a Time by David Oliver Relin and Greg Mortenson (2007; ,0.75,LIKE_NEW,Book is in perfect condition. Quick Delivery.,0.81,0.75
365249113,812968069,Snow Flower and the Secret Fan by Lisa See (2006; Paperback; Reprint) ; Lisa See (Paperback; 2006),1.99,BRAND_NEW,Book is in perfect condition. Quick Delivery.,2.41,1.97
366497198,374531269,A Long Way Gone; Memoirs of a Boy Soldier by Ishmael Beah (2008; Paperback; Reprint) ; Ishmael Beah (Paperback; 2008),3.79,LIKE_NEW,Book is in perfect condition. Quick Delivery.,4.25,4.6
377610388,1573225789,The Color of Water; A Black Man's Tribute to His White Mother by James McBride (1997; Paperback; Reissue) ; James McBride (Paperback,0.75,VERY_GOOD,Book is in excellent condition. Quick Delivery.,0.84,4.76
367486635,671015206,The Millionaire Next Door; The Surprising Secrets of America's Wealthy by William D. Danko and Thomas J. Stanley (1998; Paperback; Re,2.22,BRAND_NEW,Book is in perfect condition. Quick Delivery.,2.75,2.55
365308329,440414806,Holes by Louis Sachar (2000; Paperback; Reissue) ; Louis Sachar (Paperback; 2000),2.49,BRAND_NEW,Book is in perfect condition. Quick Delivery.,2.6,3.48
367897251,786838655,The Lightning Thief by Rick Riordan (2006; Paperback) ; Rick Riordan (Paperback; 2006),3.43,BRAND_NEW,Book is in perfect condition. Quick Delivery.,3.82,4.2
351585207,884270610,Goal; A Process of Ongoing Improvement by Jeff Cox and Eliyahu M. Goldratt (1992; Paperback; Revised) ; Jeff Cox; Eliyahu M. Goldratt,0.75,VERY_GOOD,Has some highlighting; other then that book is in excellent condition. Quick Delivery.,1.15,1
349523573,64400557,Charlotte's Web by E. B. White; Garth Williams and Edith Goodkind Rosenwald (1999; Paperback) ; E. B. White; Garth Williams; Lessing ...,0.75,VERY_GOOD,Book is in perfect condition. Quick Delivery.,0.86,0.75
349523573,64400557,Charlotte's Web by E. B. White; Garth Williams and Edith Goodkind Rosenwald (1999; Paperback) ; E. B. White; Garth Williams; Lessing ...,0.75,VERY_GOOD,Quick Delivery.,0.86,0.75
349523573,64400557,Charlotte's Web by E. B. White; Garth Williams and Edith Goodkind Rosenwald (1999; Paperback) ; E. B. White; Garth Williams; Lessing ...,0.75,VERY_GOOD,Quick Delivery.,0.86,0.75
365191921,312980140,Seven Up by Janet Evanovich (2002; Paperback) ; Janet Evanovich (Paperback; 2002),0.75,VERY_GOOD,Book is in excellent condition. I have many Janet Evanovich books listed on Half.com. Buy more then one from me and save on shipping.,0.77,0.75
367350250,316027650,Eclipse by Stephenie Meyer (2009; Paperback; Reprint) ; Stephenie Meyer (Paperback; 2009),2.49,BRAND_NEW,Book is in perfect condition. Quick Delivery.,3.24,3.21
369140887,446605239,The Notebook by Nicholas Sparks (1998; Paperback; Reissue) ; Nicholas Sparks (Paperback; 1998),0.75,VERY_GOOD,Quick Delivery.,0.75,0.75
347776347,486264785,The Importance of Being Earnest by Oscar Wilde (1990; Paperback) ; Oscar Wilde (Paperback; 1990),0.75,VERY_GOOD,Book is in excellent condition; pages have some underlining and notes written in margin. Quick Delivery.,0.75,0.75
358213689,307276902,Million Little Pieces by James Frey (2005; Paperback) ; James Frey (Paperback; 2005),1.85,BRAND_NEW,Book is in perfect condition. Quick Delivery.,2.98,1.88
330272910,039480001X,The Cat in the Hat by Dr. Seuss (1957; Hardcover) ; Dr. Seuss (Hardcover; 1957),2.89,BRAND_NEW,Book is in perfect condition. SAVE ON SHIPPING by buying more then one book from me. I have many Dr. Seuss books listed on Half.com.,3.09,3.23
346429394,679746048,Girl Interrupted by Susanna Kaysen (1994; Paperback; Reprint) ; Susanna Kaysen (Paperback; 1994),0.75,VERY_GOOD,Quick Delivery.,0.75,0.75
365790607,767902521,A Walk in the Woods; Rediscovering America on the Appalachian Trail by Bill Bryson (1999; Paperback; Reprint) ; Bill Bryson (Paperbac...,0.75,VERY_GOOD,Book is in excellent condition. Quick Delivery.,0.75,0.75
367383000,316168815,The Lovely Bones by Alice Sebold (2004; Paperback; Reprint) ; Alice Sebold (Paperback; 2004),0.75,VERY_GOOD,Quick Delivery.,0.78,0.75
345408082,804106304,The Joy Luck Club by Amy Tan (1994; Paperback) ; Amy Tan (Paperback; 1994),1.24,LIKE_NEW,Book is in excellent condition. Quick Delivery.,1.55,1.77
345408082,804106304,The Joy Luck Club by Amy Tan (1994; Paperback) ; Amy Tan (Paperback; 1994),0.75,VERY_GOOD,Quick Delivery.,0.75,0.75
349525412,590371258,Out of the Dust by Karen Hesse (1999; Paperback; Reprint) ; Karen Hesse (Paperback; 1999),1.99,BRAND_NEW,Book is in perfect condition. Quick Delivery.,2.94,1.99
301539422,,Pawn Stars; Season One (DVD; 2010; 2-Disc Set) (DVD; 2010),5.95,LIKE_NEW,Discs and case are in perfect condition. Quick Delivery.,5.98,5.98
347201065,1401303277,For One More Day by Mitch Albom (2006; Hardcover) ; Mitch Albom (Hardcover; 2006),0.75,BRAND_NEW,Book is in perfect condition. Quick Delivery.,0.75,0.75
374373564,,The Boondocks - Complete First Season (DVD; 2006; 3-Disc Set) (DVD; 2006),13.29,LIKE_NEW,Discs and case are in perfect condition. Quick Delivery.,11.34,10.52
344775090,440219078,The Giver by Lois Lowry (1996; Paperback; Reissue) ; Lois Lowry (Paperback; 1996),0.75,VERY_GOOD,Quick Delivery.,0.79,0.75
349926906,679766758,Push by Sapphire (1997; Paperback; Reprint) ; Sapphire (Paperback; 1997),2.75,BRAND_NEW,Book is in perfect condition. Quick Delivery.,3.11,3.8
347872296,689808828,Hatchet by Gary Paulsen (1996; Paperback; Reprint) ; Gary Paulsen (Paperback; 1996),4.89,BRAND_NEW,Book is in perfect condition. Quick Delivery.,4.73,4.25
279730239,312195516,The Red Tent ; Anita Diamant (Paperback; 1998),0.75,VERY_GOOD,Book is in very good condition. Quick Delivery.,0.75,0.75
333446595,385504209,The DaVinci Code by Dan Brown (2003; Hardcover) ; Dan Brown (Hardcover; 2003),0.75,VERY_GOOD,Book is in excellent condition. Quick Delivery.,0.75,0.75
365452809,385199570,The Stand by Stephen King (1990; Hardcover) ; Stephen King (Hardcover; 1990),9.82,BRAND_NEW,Book is in excellent condition. Quick Delivery.,9.84,9.84
367759064,1593080255,The Picture of Dorian Gray by Oscar Wilde (2003; Paperback) ; Oscar Wilde (Paperback; 2003),2.39,BRAND_NEW,Book is in perfect condition. Quick Delivery.,2.37,2.42
347971569,044651862X,The Celestine Prophecy by James Redfield (1994; Hardcover) ; James Redfield (Hardcover; 1994),0.75,LIKE_NEW,Book is in excellent condition. Quick Delivery.,0.75,0.75
347971569,044651862X,The Celestine Prophecy by James Redfield (1994; Hardcover) ; James Redfield (Hardcover; 1994),0.75,LIKE_NEW,Book is in perfect condition. Quick Delivery.,0.75,0.75
348153947,446610038,1st to Die by James Patterson (2002; Paperback; Reprint) ; James Patterson (Paperback; 2002),0.75,VERY_GOOD,Book is in excellent condition. Quick Delivery.,0.75,0.75
367589648,316666343,The Lovely Bones by Alice Sebold (2002; Hardcover) ; Alice Sebold (Hardcover; 2002),0.75,LIKE_NEW,Book is in excellent condition. Quick Delivery.,0.75,0.75
370437635,068484267X,Angela's Ashes by Frank McCourt (1999; Paperback) ; Frank McCourt (Paperback; 1999),0.75,VERY_GOOD,Quick Delivery.,0.75,0.75
345841843,684801280,Driven to Distraction; Recognizing and Coping With Attention Deficit Disorder from Childhood Through Adulthood by Edward M. Hallowell...,3.59,BRAND_NEW,Book is in perfect condition. Quick Delivery.,5.23,2.47
368203695,743454553,Vanishing Acts by Jodi Picoult (2005; Paperback; Reprint) ; Jodi Picoult (Paperback; 2005),0.75,VERY_GOOD,Quick Delivery.,0.75,0.75
367589648,316666343,The Lovely Bones by Alice Sebold (2002; Hardcover) ; Alice Sebold (Hardcover; 2002),0.75,BRAND_NEW,Book is in perfect condition. Quick Delivery.,0.89,0.75
348153947,446610038,1st to Die by James Patterson (2002; Paperback; Reprint) ; James Patterson (Paperback; 2002),0.75,LIKE_NEW,Book is in perfect condition. Quick Delivery.,0.8,0.8
332396238,446525537,A Walk to Remember (1999; Hardcover) (Hardcover; 1999),1.49,BRAND_NEW,Book is in perfect condition. Quick Delivery.,2.4,1.59
332396238,446525537,A Walk to Remember (1999; Hardcover) (Hardcover; 1999),1.54,BRAND_NEW,Book is in pristine condition. Quick Delivery.,2.4,1.59
